scheme,outer_fold,method,risk_limit,confidence_delta,confidence_level,fixed_sequence_candidate_count,tested_candidate_count,certified_candidate_count,sequence_stopped_at,selected_candidate_order_label,selected_candidate_source_target_fpr,selected_selection_recall,selected_selection_fpr,selected_selection_qwen_call_rate,selected_candidate_parameters_json,risk_negative_n,risk_false_positive_n,risk_observed_fpr,ltt_p_value,one_sided95_upper,certificate_pass,outer_recall,outer_fpr,outer_fpr_one_sided95_upper,outer_qwen_call_rate,outer_avg_estimated_cost_ms
leave_source_out,jailbreakbench_judge_comparison,full_information_always_on,0.05,0.05,0.95,7,7,6,target_0.050,target_0.040,0.04,0.8245614035087719,0.03582089552238806,1.0,"{""candidate_order_label"": ""target_0.040"", ""candidate_source_target_fpr"": 0.04, ""threshold"": 0.3085339679071616}",670,19,0.028358208955223882,0.003974372571865096,0.0413344752416895,True,0.9831932773109243,0.1728395061728395,0.2569301168044325,1.0,1407.7604255
leave_source_out,jailbreakbench_judge_comparison,selective_acquisition,0.05,0.05,0.95,7,7,6,target_0.050,target_0.040,0.04,0.8245614035087719,0.03582089552238806,0.8494897959183674,"{""candidate_order_label"": ""target_0.040"", ""candidate_source_target_fpr"": 0.04, ""full_fusion_threshold"": 0.29456986953818765, ""router_high_intercept_threshold"": 0.5821080255270837, ""router_low_allow_threshold"": 0.1023297874664579}",670,19,0.028358208955223882,0.003974372571865096,0.0413344752416895,True,0.8739495798319328,0.14814814814814814,0.2289551524680735,0.9,1270.8965450500002
leave_source_out,wildguardtest,full_information_always_on,0.05,0.05,0.95,5,5,4,target_0.050,target_0.040,0.04,0.5416666666666666,0.030303030303030304,1.0,"{""candidate_order_label"": ""target_0.040"", ""candidate_source_target_fpr"": 0.04, ""threshold"": 0.8150740308418932}",132,2,0.015151515151515152,0.03658243743530556,0.04692520649409414,True,0.43661971830985913,0.011228070175438596,0.017003758516283347,1.0,1407.7604255000003
leave_source_out,wildguardtest,selective_acquisition,0.05,0.05,0.95,5,2,1,target_0.005,selection_zero_intercept_fallback,0.0,0.0,0.0,0.0,"{""candidate_order_label"": ""selection_zero_intercept_fallback"", ""candidate_source_target_fpr"": 0.0, ""full_fusion_threshold"": 0.9028448002586281, ""router_high_intercept_threshold"": 0.5859853363914644, ""router_low_allow_threshold"": 0.5859853363914643}",132,1,0.007575757575757576,0.009114634216403962,0.035432715924432374,True,0.1056338028169014,0.016140350877192983,0.022789910562442513,0.0,39.12162100000001
leave_source_out,xstest_safe_gpt4,full_information_always_on,0.05,0.05,0.95,7,6,5,target_0.040,target_0.030,0.03,0.7654320987654321,0.026578073089700997,1.0,"{""candidate_order_label"": ""target_0.030"", ""candidate_source_target_fpr"": 0.03, ""threshold"": 0.747009535969038}",603,20,0.03316749585406302,0.030111598431500634,0.047832576874998776,True,,0.008,0.02496768176927198,1.0,1407.7604255000003
leave_source_out,xstest_safe_gpt4,selective_acquisition,0.05,0.05,0.95,7,6,5,target_0.040,target_0.030,0.03,0.7654320987654321,0.026578073089700997,0.8926701570680629,"{""candidate_order_label"": ""target_0.030"", ""candidate_source_target_fpr"": 0.03, ""full_fusion_threshold"": 0.7469968838738752, ""router_high_intercept_threshold"": 0.7272239671820321, ""router_low_allow_threshold"": 0.1358921144420085}",603,20,0.03316749585406302,0.030111598431500634,0.047832576874998776,True,,0.008,0.02496768176927198,0.852,1205.2018824340003
leave_family_out,GCG,full_information_always_on,0.05,0.05,0.95,6,6,5,target_0.040,target_0.030,0.03,0.589041095890411,0.02865329512893983,1.0,"{""candidate_order_label"": ""target_0.030"", ""candidate_source_target_fpr"": 0.03, ""threshold"": 0.8471579956694612}",698,19,0.027220630372492838,0.001996802200179111,0.03968702184257061,True,0.6842105263157895,0.0,0.22092219194555585,1.0,1407.7604255
leave_family_out,GCG,selective_acquisition,0.05,0.05,0.95,6,6,5,target_0.040,target_0.030,0.03,0.589041095890411,0.02865329512893983,0.5071090047393365,"{""candidate_order_label"": ""target_0.030"", ""candidate_source_target_fpr"": 0.03, ""full_fusion_threshold"": 0.8469770877535594, ""router_high_intercept_threshold"": 0.8852182638456175, ""router_low_allow_threshold"": 0.10827585193580906}",698,20,0.02865329512893983,0.003765501897906564,0.041365213789166425,True,0.6842105263157895,0.08333333333333333,0.3386806684340324,0.68,969.7960080599997
leave_family_out,PAIR,full_information_always_on,0.05,0.05,0.95,7,5,4,target_0.030,target_0.020,0.02,0.6388888888888888,0.01764705882352941,1.0,"{""candidate_order_label"": ""target_0.020"", ""candidate_source_target_fpr"": 0.02, ""threshold"": 0.7414928203429065}",680,15,0.022058823529411766,0.0001595320679148006,0.033763912565277464,True,0.813953488372093,0.12280701754385964,0.21832469358086445,1.0,1407.7604254999999
leave_family_out,PAIR,selective_acquisition,0.05,0.05,0.95,7,6,5,target_0.040,target_0.030,0.03,0.8194444444444444,0.029411764705882353,0.8932038834951457,"{""candidate_order_label"": ""target_0.030"", ""candidate_source_target_fpr"": 0.03, ""full_fusion_threshold"": 0.7407227375289559, ""router_high_intercept_threshold"": 0.5617694639850318, ""router_low_allow_threshold"": 0.11495112611241412}",680,21,0.030882352941176472,0.010075465549907634,0.044168267327246054,True,0.9302325581395349,0.15789473684210525,0.2593598895364318,0.98,1380.3876494099998
