example_id,setup_id,optional_monitor,value_outer_fold,downstream_inner_fold,y,base_threshold,augmented_threshold,base_prediction,augmented_prediction,base_loss,augmented_loss,realized_decision_value,decision_changed,false_positive_reduction,false_negative_reduction,base_uncertainty,outer_train_n,outer_eval_n,outer_train_id_sha256,outer_eval_id_sha256,downstream_inner_fold_assignment_sha256,target_generation_scope
jbb-002,compact_after_rule,koala_text_moderation,0,3,1,0.3704918497529827,0.3787232386474455,1,1,0,0,0,0,0,0,0.48887225699843845,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-003,compact_after_rule,koala_text_moderation,0,1,0,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.1542823903497531,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-006,compact_after_rule,koala_text_moderation,0,2,1,0.3704918497529827,0.3787232386474455,1,1,0,0,0,0,0,0,0.45747062844821496,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-008,compact_after_rule,koala_text_moderation,0,3,0,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.2927093313405677,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-010,compact_after_rule,koala_text_moderation,0,3,0,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11077982201182061,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-011,compact_after_rule,koala_text_moderation,0,0,1,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.25690627181741704,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-013,compact_after_rule,koala_text_moderation,0,1,0,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.25927613568105606,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-014,compact_after_rule,koala_text_moderation,0,3,0,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.22927691118315532,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-015,compact_after_rule,koala_text_moderation,0,0,1,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.16015199515361275,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
jbb-016,compact_after_rule,koala_text_moderation,0,3,1,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.11077982201182061,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,inner_oof_within_current_outer_train
